title_company,category,level,requirements,salary,urlsCatalog
"Junior QA Engineer
Ingrid","Testing, testing",Junior,testing|Team player|Critical thinking|Problem solving|Proactivity|Communication skills|REST|SDLC|STLC,"5 000 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-qa-engineer-ingrid-remote-jvhknpxn
"Junior QA Engineer
Ingrid","Testing, testing",Junior,testing|Team player|Critical thinking|Problem solving|Proactivity|Communication skills|REST|SDLC|STLC,"5 000 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-qa-engineer-ingrid-wroclaw-jvhknpxn
"Junior Cloud Specialist
Knowit Poland Sp. z o.o.","DevOps, aws",Junior,AWS|Linux|Azure|Ansible|English,"6 000 - 8 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-cloud-specialist-knowit-poland-remote-scxjbtfq
"Junior Cloud Specialist
Knowit Poland Sp. z o.o.","DevOps, aws",Junior,AWS|Linux|Azure|Ansible|English,"6 000 - 8 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-cloud-specialist-knowit-poland-warszawa-scxjbtfq
"Junior Cloud Specialist
Knowit Poland Sp. z o.o.","DevOps, aws",Junior,AWS|Linux|Azure|Ansible|English,"6 000 - 8 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-cloud-specialist-knowit-poland-lodz-scxjbtfq
"Junior Cloud Specialist
Knowit Poland Sp. z o.o.","DevOps, aws",Junior,AWS|Linux|Azure|Ansible|English,"6 000 - 8 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-cloud-specialist-knowit-poland-bydgoszcz-scxjbtfq
"Drupal Developer
Centrum Informatyki Statystycznej","Fullstack, php",Mid,drupal|PHP|CSS3|html|jquery|Communication skills|Problem solving|Team player|REST|J. angielski - poziom umożliwiający czyt. dok. techn.|Min. roczne dośw. na stanowisku Drupal Developer,"5 000 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/drupal-developer-centrum-informatyki-statystycznej-warszawa-oeicjp94
"Junior Java Software Developer
GRIP Software Solutions","Fullstack, java",Junior,"Java|Spring|Git|Database (PostgreSQL) and SQL|Object-Relational Mapping (JPA/Hibernate)|IDE (IntelliJ, Eclipse)|o Java and Java-related frameworks (Spring, Spring Boot|• Self-motivated, organised and customer focused|Critical thinking|Good verbal and writing English|Communication skills","5 000 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/junior-java-software-developer-grip-software-solutions-remote-x2rg6iyb
"Junior Remote BI Developer
Axis Group",Business Intelligence,Junior,Good knowledge of Microsoft Excel|Bachelor&#39;s degree in Computer Science or economics|Analytical thinking|Communication skills|Excellent English communication skills (B2/C1),"5 000 - 8 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-bi-developer-axis-group-ienfwsma
"Junior Remote BI Developer
Axis Group",Business Intelligence,Junior,Good knowledge of Microsoft Excel|Bachelor&#39;s degree in Computer Science or economics|Analytical thinking|Communication skills|Excellent English communication skills (B2/C1),"5 000 - 8 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-bi-developer-axis-group-wroclaw-ienfwsma
"Junior Remote Java Engineer
CDQ","Backend, java",Junior,Java|English|Communication skills|Git|REST|Spring|Team player,"5 000 - 9 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-java-engineer-cdq-dfqekgs5
"Junior Remote Java Engineer
CDQ","Backend, java",Junior,Java|English|Communication skills|Git|REST|Spring|Team player,"5 000 - 9 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-java-engineer-cdq-wroclaw-dfqekgs5
"Senior .NET Engineer/Remote
Infogain Technologies Sp. z o.o.","Backend, .net",Senior,.NET|Entity Framework|REST API|MS SQL,"16 000 - 24 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 19 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/senior-net-engineer-remote-infogain-technologies-dddipkjy
"Junior Remote DevOps Engineer
Nivalit sp z o.o.","DevOps, aws",Junior,AWS|Git|continuous integration|Docker|Linux,"6 000 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-devops-engineer-nivalit-yvi0ymgj
"Junior Remote DevOps Engineer
Nivalit sp z o.o.","DevOps, aws",Junior,AWS|Git|continuous integration|Docker|Linux,"6 000 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 500 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-remote-devops-engineer-nivalit-krakow-yvi0ymgj
".NET Engineer Fullstack Mid / Senior
Dualog","Fullstack, .net","Mid, Senior",.NET|English|Team player,"19 000 - 29 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 24 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/net-engineer-fullstack-mid-senior-dualog-krakow-mqlcapq1
"Junior BI Developer
EBIS",Business Intelligence,Junior,SQL|ETL|SQL Server|PostgreSQL|Azure|Power BI|Critical thinking|Proactivity|Problem solving|Communication skills|Team player|English|Polish,"6 720 - 13 440 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|40 - 80 PLN
+ vat (B2B) godzinowo ",https://nofluffjobs.com/pl/job/junior-bi-developer-ebis-remote-g3gqeqrn
"Junior BI Developer
EBIS",Business Intelligence,Junior,SQL|ETL|SQL Server|PostgreSQL|Azure|Power BI|Critical thinking|Proactivity|Problem solving|Communication skills|Team player|English|Polish,"6 720 - 13 440 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|40 - 80 PLN
+ vat (B2B) godzinowo ",https://nofluffjobs.com/pl/job/junior-bi-developer-ebis-krakow-g3gqeqrn
"Junior DevOps
Nordea Bank ABP","DevOps, linux",Junior,Linux|Git|Ansible|sql|English|ITIL,"9 000 - 12 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-devops-nordea-bank-abp-gdansk-1mikff90
"Machine Learning Engineer
Bayer",Inne,Mid,Machine Learning|English|Engineering|Python|Agile Methodology|Version Control|CI/CD|AWS|SQL|Docker|Kubernetes|DevOps|NLP&NLU,"12 000 - 18 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/machine-learning-engineer-bayer-warszawa-sk83tpw5
"Infrastructure Architect
ProData Consult",Inne,Mid,"Architecture|Microsoft SCCM|Microsoft Intune|Active Directory|Utilizing Windows 10 LTSC in an enterprise setting|Configuration of Windows 10 LTSC end points|Virtualization of Windows 10 LTSC end points on-premise|Microsoft Azure or AWS|Regulated environments, preferably Pharma / GxP","36 960 - 42 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|220 - 250 PLN
+ vat (B2B) godzinowo ",https://nofluffjobs.com/pl/job/infrastructure-architect-prodata-consult-remote-nougvj27
"Agile Lead
Boldare",Agile,Senior,Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English,"15 700 - 22 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|11 700 - 16 700 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/agile-lead-boldare-remote-oopumfcy
"Agile Lead
Boldare",Agile,Senior,Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English,"15 700 - 22 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|11 700 - 16 700 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/agile-lead-boldare-gliwice-oopumfcy
"Agile Lead
Boldare",Agile,Senior,Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English,"15 700 - 22 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|11 700 - 16 700 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/agile-lead-boldare-wroclaw-oopumfcy
"Agile Lead
Boldare",Agile,Senior,Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English,"15 700 - 22 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|11 700 - 16 700 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/agile-lead-boldare-warszawa-oopumfcy
"Agile Lead
Boldare",Agile,Senior,Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English,"15 700 - 22 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|11 700 - 16 700 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/agile-lead-boldare-krakow-oopumfcy
"REMOTE Community/Social Media Manager
Robot Gentleman",Marketing,Mid,Communication skills|English|Copywriting|Content Marketing|Team player,"6 250 - 8 385 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-community-social-media-manager-robot-gentleman-qju9oryb
"REMOTE Community/Social Media Manager
Robot Gentleman",Marketing,Mid,Communication skills|English|Copywriting|Content Marketing|Team player,"6 250 - 8 385 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-community-social-media-manager-robot-gentleman-poznan-qju9oryb
"Senior Java Engineer
Infoniqa Poland","Backend, java",Senior,Java|Critical thinking|English|ORM|Hibernate|spring framework|Spring Technologies|ms sql|derbyDB|jsp|css|hcm skills,"20 160 - 31 920 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 24 000 PLN
brutto miesięcznie (UoP) oblicz netto|120 - 190 PLN
+ vat (B2B) godzinowo |14 000 - 24 000 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/senior-java-engineer-infoniqa-poland-remote-bcdn7ggb
"Senior Java Engineer
Infoniqa Poland","Backend, java",Senior,Java|Critical thinking|English|ORM|Hibernate|spring framework|Spring Technologies|ms sql|derbyDB|jsp|css|hcm skills,"20 160 - 31 920 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 24 000 PLN
brutto miesięcznie (UoP) oblicz netto|120 - 190 PLN
+ vat (B2B) godzinowo |14 000 - 24 000 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/senior-java-engineer-infoniqa-poland-krakow-bcdn7ggb
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-gdansk-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-warszawa-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-bialystok-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-gliwice-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-wroclaw-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-poznan-gtub02bd
"Remote ReactJS Developer (mid)
Antal Poland","Frontend, react",Mid,English|React|JavaScript|TypeScript|Git,"15 000 - 24 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|12 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-krakow-gtub02bd
".NET Developer
Devire Sp. z o.o.","Backend, .net",Mid,.NET|ASP.NET|MVC|Web API|MS SQL|TDD|Entity Framework|NUnit|English,"23 520 - 26 880 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|140 - 160 PLN
+ vat (B2B) godzinowo ",https://nofluffjobs.com/pl/job/net-developer-devire-remote-33fcyl9i
"Machine Learning Engineer (MLOps)
Robotec.ai","AI, AWS","Mid, Senior",Python|AWS|Machine Learning|Docker|MLflow|Kubeflow|Amazon SageMaker,"15 000 - 23 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/machine-learning-engineer-mlops-robotec-ai-warszawa-8qw7xdlk
"Machine Learning Engineer (MLOps)
Robotec.ai","AI, AWS","Mid, Senior",Python|AWS|Machine Learning|Docker|MLflow|Kubeflow|Amazon SageMaker,"15 000 - 23 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|14 000 - 21 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/machine-learning-engineer-mlops-robotec-ai-wroclaw-8qw7xdlk
"Junior Remote Laravel Developer
INVESTIT SYSTEMS Sp. z o.o.","Backend, php",Junior,PHP|Git|REST|API|Laravel|MySQL,"5 040 - 6 720 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|3 360 - 5 040 PLN
brutto miesięcznie (UZ) |30 - 40 PLN
+ vat (B2B) godzinowo |20 - 30 PLN
brutto godzinowo (UZ) |20 - 30 PLN
brutto godzinowo (UoP) ",https://nofluffjobs.com/pl/job/junior-remote-laravel-developer-investit-systems-qzpgn5ig
"Junior Remote Laravel Developer
INVESTIT SYSTEMS Sp. z o.o.","Backend, php",Junior,PHP|Git|REST|API|Laravel|MySQL,"5 040 - 6 720 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|3 360 - 5 040 PLN
brutto miesięcznie (UZ) |30 - 40 PLN
+ vat (B2B) godzinowo |20 - 30 PLN
brutto godzinowo (UZ) |20 - 30 PLN
brutto godzinowo (UoP) ",https://nofluffjobs.com/pl/job/junior-remote-laravel-developer-investit-systems-poznan-qzpgn5ig
"Młodszy Grafik 3D-GameDev
Byte Barrel","Gaming, Blender &Substance Painter","Trainee, Junior",Blender &Substance Painter,"4 200 - 7 000 PLN
brutto miesięcznie (UZ) |4 200 - 7 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/mlodszy-grafik-3d-gamedev-byte-barrel-gdansk-6ka28loi
"Remote Senior Python Engineer
papernest","Backend, python",Senior,Python|Django,"27 000 - 29 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|22 000 - 24 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-senior-python-engineer-papernest-i4or90ie
"Remote Senior Python Engineer
papernest","Backend, python",Senior,Python|Django,"27 000 - 29 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|22 000 - 24 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-senior-python-engineer-papernest-warszawa-i4or90ie
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-remote-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-wroclaw-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-gliwice-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-bialystok-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-warsaw-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-gdansk-qgwshwud
"Azure Senior/Lead DevOps/Cloud Architect
SoftServe","DevOps, Microsoft Azure","Senior, Expert",Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD,"20 000 - 32 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-lodz-qgwshwud
